text,label,label_desc,translation
i face turn red and feel shy emm no,4,fear,"Namamanhid ang aking mukha at nahihiya ako, emm hindi."
i hoped to get from her this weekend in an attempt to not feel so utterly isolated inside ambleside with the curtains firmly closed on what was the warmest sunniest day of the year so far,0,sadness,Umaasa akong makakausap siya ngayong weekend upang hindi maramdaman ang ganap na pag-iisa sa loob ng Ambleside habang nakasara ang kurtina sa pinakaminit at pinakamaliwanag na araw ng taon hanggang ngayon.
i felt the sadness and remorse we are supposed to feel when we realize we have wronged someone corinthians,3,anger,"Nadama ko ang kalungkutan at pagsisisi na dapat nating maramdaman kapag napagtanto natin na nagkasala tayo sa isang tao, gaya ng sinasabi sa mga Korinto."
i really feel that we are progressing towards a society that is more fearless incrementally throwing away seemingly rigid boundaries like paranoia over security of one s belongings a href http www,1,joy,"Tunay kong nararamdaman na tayo ay unti-unting umuunlad tungo sa isang lipunan na mas walang takot, at unti-unting itinatapon ang mga tila matigas na hangganan gaya ng pagkabalisa tungkol sa kaligtasan ng mga gamit ng isang tao."
i feel so unimportant insignificant like im slipping through the gaps between his fingers and he doesnt care,0,sadness,"Nararamdaman kong napakaliit at hindi mahalaga, parang nalilipad ako sa pagitan ng kanyang mga daliri at hindi niya ako pinapansin."
i am feeling a tad smug right now,1,joy,Nararamdaman kong medyo mapagmataas ngayon.
i think browsers are more comfortable in my booth if all my attention is not focused on them and they don t feel pressured to make a purchase,4,fear,Sa tingin ko mas komportable ang mga customer sa aking tindahan kung hindi lahat ng aking pansin ay nakatuon sa kanila at hindi sila nadaramaang pinipilit bumili.
i did develop unknown feelings for him i think thats the reason why i feel like ive been settling for all the other guys who liked me,2,love,"Nabuo ko siguro mga hindi ko kilalang damdamin para sa kanya, kaya marahil iyon ang dahilan kung bakit parang nag-a-adjust lang ako sa lahat ng ibang lalaki na nagustuhan ako."
i wasnt feeling that hot prior to vineman but with a little racin and a lot of self talk im now in a better spot mentally and physically,2,love,"Hindi ako gaanong maganda ang pakiramdam bago ang Vineman, pero dahil sa kaunting pagtakbo at maraming pag-uusap sa sarili, ngayon ay mas mabuti na ang aking kalagayan, kapwa mental at pisikal."
i visit m ller in my country and go to the expensive make up stands the sales assistants are always standing right next to me and looking at me like im going to steal something so i feel really uncomfortable shopping there,4,fear,Pumupunta ako sa Müller sa aking bansa at pumupunta sa mga mahal na estasyon ng make-up. Lagi silang nakatayo malapit sa akin at nakatingin sa akin parang magnanakaw ako kaya sobrang hindi ako komportable sa pagbili doon.
i was eager to know why i was feeling unhappy and unsatisfied,0,sadness,Gusto kong malaman kung bakit ako nararamdaman ang kalungkutan at kawalan ng kasiyahan.
i feel crappy actually,0,sadness,Talagang masama pakiramdam ko.
i feel so invigorated so focused about what im being led to pursue right now and in the future,1,joy,Nararamdaman kong napakalakas ng aking sigla at pokus sa kung ano ang aking pinaplano ngayon at sa hinaharap.
i feel i am shy and i am afraid of keeping my point of view,4,fear,Nararamdaman kong mahiyain ako at natatakot akong ipahayag ang aking pananaw.
i feel like i get a lot of questions in my list of search phrases that point people here and sometimes i m awfully disturbed at the things that somehow bring my blog up in a search engine,0,sadness,Nararamdaman kong maraming tanong sa aking listahan ng mga parirala sa paghahanap na tumuturo sa akin dito at minsan ay lubos akong nababahala sa mga bagay na sa ilang paraan ay nagpapakita ng aking blog sa isang makina ng paghahanap.
i couldn t help but feel sympathetic for netflix as an army of the misinformed denounced netflix for the recent price hike,2,love,Hindi ko mapigilan ang magpakita ng simpatiya kay Netflix habang isang hukbo ng mga hindi nakakaalam ng katotohanan ay nagsasalita laban sa Netflix dahil sa kamakailang pagtaas ng presyo.
im not going to lie i feel a little insulted,3,anger,"Hindi ko sasabihin na hindi ako nasaktan, medyo nabastos ako."
i feel peaceful and unafraid certain that my god has my best interests at heart,1,joy,"Nararamdaman kong mapayapa at walang takot, tiyak na ang Diyos ko ay may pinakamabuting hangarin para sa akin."
i feel awful and have had chills on and off day and night,0,sadness,Masama ang pakiramdam ko at may lagnat na sumasagi araw at gabi.
i was feeling at the start didnt want to move much at all was really glad to experience this glimpse into the sort of vibrant energy i will gain through out the year,1,joy,"Sa simula, ayaw kong kumilos ng marami, pero sobrang saya kong nakaranas ng isang sulyap sa uri ng masiglang enerhiya na aking matatanggap sa buong taon."
i feel virtuous for going to spin class then driving all the way to blackburn in the manual unsupervised and sucessfully handbrake starting,1,joy,Nararamdaman kong mabuti dahil pumunta ako sa spin class tapos nagmaneho ng buong daan papuntang Blackburn gamit ang manual na hindi pinagmamasdan at matagumpay na nag-handbrake start.
i feel like nothing can stop me and sometimes i feel like so defeated,0,sadness,Nararamdaman kong wala nang makakapigil sa akin at minsan ay nadarama kong lubos na natatalo.
i email authors about interviews i feel a little intimidated,4,fear,"Nag-e-email ako sa mga may-akda tungkol sa mga panayam, medyo kinakabahan ako."
i believe people who use fulsome manners only for social reasons they aren t on the top of the scale of human evolution and i feel hurt by their fake behavior,0,sadness,Naniniwala ako na ang mga taong gumagamit ng mapagmalaki at pabango lamang para sa pakikisalamuha ay hindi nasa tuktok ng hagdan ng ebolusyon ng tao at nasasaktan ako sa kanilang pekeng kilos.
im not necessarily sure what but something in the education system must change or students can feel anxiety and pressure with needing to be flawless with their vast knowledge of the world,1,joy,"Hindi ko sigurado kung ano eksaktong dapat baguhin, pero may kailangang pagbabago sa sistema ng edukasyon upang hindi maramdaman ng mga estudyante ang pagkabalisa at presyur na maging perpekto at magkaroon ng napakalawak na kaalaman tungkol sa mundo."
i dont think my desire level is too much to bear but i feel unwelcome,0,sadness,Hindi ko akalaing labis ang aking pagnanais ngunit nararamdaman kong hindi ako tinatanggap.
i am feeling a lil bit gloomy,0,sadness,Nararamdaman ko lang medyo malungkot.
i find that i never stop feeling excited for our company s future,1,joy,Lagi akong nakakaramdam ng kilig para sa kinabukasan ng aming kompanya.
i am grateful for every single thing i have maybe then ill start feeling dismayed when i don t have more,0,sadness,"Nagpapasalamat ako sa lahat ng meron ako, baka saka ko maramdaman ang pagkadismaya kapag wala na akong higit pa."
i feel so stupid to think they will trust me,0,sadness,Nararamdaman kong tanga dahil sa pag-iisip na titiwala sila sa akin.
i feel awful everytime ac,0,sadness,Masama ang pakiramdam ko tuwing may AC.
i like the feeling of making some difference this time i was really reluctant to change at first however get used to it after a while,4,fear,"Gustung-gusto ko ang pakiramdam na nagagawa kong magkaroon ng pagbabago, kahit noong una ay talagang ayaw kong magbago, ngunit nasanay naman ako pagkaraan ng ilang panahon."
i feel like life was so flawless for so very long and now i am stressed out and wanting to cry half the time,1,joy,"Parang perpekto ang buhay ko noon, matagal na, at ngayon ay stress na ako at halos umiyak na ako ng kalahati ng oras."
i feel shafted or greedy,3,anger,Nararamdaman kong niloloko o sakim.
i stop feeling so depressed and,0,sadness,Hindi na ako nararamdaman ang malalim na kalungkutan.
i feel so emotional reaching three finals in four years,0,sadness,Napakagagaan ng pakiramdam ko dahil nakarating ako sa tatlong finals sa loob ng apat na taon.
i wasnt feeling well yesterday and today has been randomly busy,1,joy,Hindi ako maganda ang pakiramdam kahapon at ngayon ay biglaan at abala.
i the ultimate place to restore the peace to feel divine to kneel for worship and to attain hapiness,1,joy,"Ako ang pinakamahusay na lugar upang maibalik ang kapayapaan, maramdaman ang kabanalan, yumuko sa pagsamba, at makamit ang kaligayahan."
im feeling really positive desp,1,joy,Nararamdaman kong sobrang positibo.
i feel when i read your words and realize one more time just how very good of a writer you are the feeling of shared sympathies,1,joy,"Nararamdaman ko kapag binabasa ko ang iyong mga salita at napagtanto muli kung gaano ka kahusay na manunulat, ang damdamin ng pinagsamahang simpatiya."
i feel pity for gatsby because the longing he feels for the past is so evident,2,love,Nakaramdam ako ng awa kay Gatsby dahil malinaw na nakikita ang kanyang pagnanasa sa nakaraan.
i met you i used to want to lock myself into a vault just to feel precious,1,joy,"Nakilala kita, noon ay gustung-gusto kong isara ang sarili sa isang baul para lang maramdaman ang pagiging mahalaga."
i really hate that feeling when youre unsure about something,4,fear,Talagang ayaw ko ng pakiramdam na hindi ka sigurado tungkol sa isang bagay.
i feel like those rich people all fall into the category of don t belong when i see them on the bus,1,joy,"Parang lahat ng mayayaman ay nabibilang sa ""hindi nababagay"" kapag nakikita ko sila sa bus."
i write which is what i consider my real profession even though by teaching poetry to troubled and poor kids i feel i m doing something useful,1,joy,"Sumusulat ako, iyon ang aking itinuturing na tunay na propesyon kahit na sa pagtuturo ng tula sa mga batang may problema at mahirap, nararamdaman kong ginagawa ko ang isang kapaki-pakinabang na bagay."
i feel honored to be witness to another s process,1,joy,Nararamdaman kong iginagalang na maging saksi sa isa pang proseso.
i had a horrible tragedy something that i was terribly ashamed of or something that was causing me great pain or that was making me feel vulnerable i have more than just one or two very trusted people who i know i could call for help,4,fear,"Nagkaroon ako ng isang nakakatakot na trahedya, isang bagay na lubhang ikinahihiya ko o isang bagay na nagdudulot sa akin ng malaking sakit o nagpapakita ng aking kahinaan. Mayroon akong higit sa isang o dalawang lubos kong pinagkakatiwalaang tao na alam kong maaari kong tawagan para humingi ng tulong."
i feel stupid and incapable and i dont know what i want to do and work is stupid and only for the next two weeks and i m questioning everything,0,sadness,"Nararamdaman kong tanga at hindi kaya at hindi ko alam kung ano ang gusto kong gawin, at ang trabaho ay bobo at para lamang sa susunod na dalawang linggo, at pinag-aalinlanganan ko ang lahat."
i am writing this at a time when i have also had an upset with the only real parent i have had almost constantly in my life and when theres no brothers and sisters around either i am an only child it feels kinda lonely,0,sadness,"Sumusulat ako ngayon sa isang panahon kung kailan mayroon ding alitan ako sa tanging tunay na magulang na lagi kong kasama sa buhay at kung saan wala ring mga kapatid, dahil ako'y isang anak lamang. Nakakaramdam ako ng kakaunti ng kalungkutan."
i feel like this concert was much more successful than the previous one,1,joy,Nararamdaman kong mas matagumpay ang konsyerto na ito kumpara sa nakaraang isa.
i was just feeling needy,0,sadness,Nararamdaman ko lang na kailangan ko ng atensyon.
i also feel so awful feeling this way,0,sadness,Nararamdaman ko rin ang pagiging masama dahil sa ganitong pakiramdam.
i always intended on achieving just so i could be with everyone else and feel like i was an intelligent productive and successful person,1,joy,"Lagi kong hangarin na makamit ang mga bagay upang makasama ang lahat at maramdaman na ako ay isang matalinong, produktibo, at matagumpay na tao."
i feel like i have been beaten hard with a baseball bat under my arm which the doctor said was a very apt description,0,sadness,"Parang binatukan ako ng baseball bat sa ilalim ng aking bisig, gaya ng sinabi ng doktor, na isang napakagandang paglalarawan."
i feel overwhelmingly remorseful and guilty when i watch too much news or too many sad movies or television dramas,0,sadness,Nadarama kong napakalakas ng pagsisisi at pagkakasala kapag masyadong maraming balita ang pinapanood ko o masyadong maraming malungkot na pelikula o palabas sa telebisyon ang aking tinatangkilik.
i feel completely drained physically and mentally worn out,0,sadness,"Napapagod na ako nang lubusan, parehong pisikal at mental."
i feel wonderful im tipping over backwards im so ambitious im looking back im running a race and youre the books i read so feel my fingers as they touch you arms im spinning around and i feel alright the book i read was in your eyes,1,joy,"Nararamdaman kong kahanga-hanga, napapaligiran ako ng saya, sobrang ambisyoso ko, nakatingin ako pabalik, tumatakbo ako sa isang karera at ikaw ang mga libro kong nabasa kaya maramdaman mo ang aking mga daliri habang hinahaplos kita, umiikot ako at nararamdaman kong maayos ang lahat, ang libro kong nabasa ay nasa iyong mga mata."
im feeling so broke right now but i loved every minute of it,0,sadness,Sobrang kulang ako ng pera ngayon pero minahal ko bawat sandali nito.
i want to say that i feel vulnerable writing and sharing this info,4,fear,Gusto kong sabihin na nararamdaman kong mahina at madaling masaktan habang sumusulat at nagbabahagi nito.
i was using it to vent out ugly feelings and be vicious and nasty rather then deal with them like an adult,3,anger,Ginagamit ko ito para ilabas ang mga pangit na damdamin at maging masama at bastos kaysa harapin sila nang katulad ng isang matanda.
i always thought that if i contracted something from one of those people and passed it on to him that i d feel awful but after i got the sti test i thought i was basically in the clear,0,sadness,"Lagi kong iniisip na kung mahawaan ako mula sa isa sa kanila at ipagpapatuloy ko ito sa kanya, magiging masama ang pakiramdam ko, ngunit matapos kong gawin ang STI test, akala ko ay malinaw na ang lahat."
i didnt feel that there were enough strong smart and funny female main characters in fiction and since thats what i imagine myself to be i started writing,1,joy,"Hindi ko naramdaman na sapat ang bilang ng matapang, matalino, at nakakatawang babaeng pangunahing tauhan sa kathang-isip, at dahil iyon ang aking imahe sa aking sarili, nagsimula akong sumulat."
i would just go to the straight point rather than doing a defination of such as what is romance feeling or anger feeling or suspicious feelings,4,fear,"Mas gugustuhin kong diretso na sa punto kaysa magbigay ng kahulugan ng mga ganitong damdamin gaya ng pag-ibig, galit, o pag-aalinlangan."
i wasnt feeling casual much,1,joy,Hindi ako gaanong nakaramdam ng kaswal.
i feel slightly emotional watching it,0,sadness,Nararamdaman kong medyo emosyonal habang pinapanood ito.
i feel like i ve regained another vital part of my life which is living,1,joy,"Nararamdaman kong nakabalik na ang isa pang mahalagang bahagi ng buhay ko, iyon ay ang pagiging buhay."
i went up to the teacher and said im gonna step outside for a second im really not feeling too well,1,joy,"Lumapit ako sa guro at sinabi, ""Aalis muna ako saglit sa labas, hindi ko masyadong maganda ang pakiramdam."""
i pray that each of you who is hurting or feeling afraid tonight finds peace and soon,4,fear,Nananalangin ako na ang bawat isa sa inyo na nasasaktan o natatakot ngayong gabi ay mahanap ang kapayapaan at agad.
i could feel myself getting that shaky feeling,4,fear,Nararamdaman kong unti-unting kinakabahan.
i feel more crucified heartbroken tortured and forsaken than i have ever before felt but not at the hands of my enemy at the hands of those i love,0,sadness,"Mas nararamdaman kong pinag-ukol, nasasaktan, pinahihirapan, at iniwan kaysa dati, ngunit hindi ng aking kaaway, kundi ng mga taong minamahal ko."
i feel like he was more important to me than i thought he was,1,joy,Nararamdaman kong mas mahalaga siya sa akin kaysa sa akala ko.
i believe its possible to be joyful and full of thanks while feeling overwhelmed and exhausted by life,4,fear,Naniniwala ako na posible ang maging masaya at puno ng pasasalamat kahit na nadarama ang pagod at pagkabigat ng buhay.
i want people to feel brave and i want society to accept us as disabled people amongst us who deserve dignity and respect not to be shunned and laughed at,1,joy,"Gusto kong maramdaman ng mga tao ang tapang, at gusto kong tanggapin ng lipunan tayo, mga may kapansanan, bilang bahagi nito na karapat-dapat sa dignidad at respeto, hindi tinatakwil at tinatawanan."
im feeling awfully spiteful right now,3,anger,"Napakasama ng pakiramdam ko ngayon, parang puno ako ng sama ng loob."
i feel more of a sense of longing than of loss,2,love,Mas nararamdaman ko ang pag-aalinlangan kaysa sa pagkawala.
i guess you cant see how wed feel a bit unwelcome,0,sadness,Siguro hindi mo nakikita kung bakit tayo pakiramdam ay hindi tinatanggap.
i stay up and feel foolish,0,sadness,Nagigising ako at nararamdaman ang kahambugan.
i think people born in the s and s hold the key to opening many doors for us we just need to make them feel treasured enough to share it,2,love,"Sa tingin ko, ang mga taong isinilang noong dekada 70 at 80 ang may hawak ng susi upang buksan ang maraming pinto para sa atin, kailangan lang nating gawing sapat na pinahahalagahan sila upang ibahagi ito."
i would like to reduce the amount of jealousy i feel god commands us not to be jealous and i feel that every jew religious or not should obey that prohibition,3,anger,"Gusto kong bawasan ang aking nararamdamang inggit, dahil sinasabi ng Diyos na huwag tayong maging inggit, at naniniwala akong dapat sundin ng bawat Hudyo, mananampalataya man o hindi, ang pagbabawal na ito."
i feel so highly intimidated that i get flustered and cant form my words not even in english with her,4,fear,"Napakataas ng aking kinakatakutan kaya nahihiyang-hiya ako at hindi ko maibibigay ang aking mga salita, kahit sa Ingles, kasama siya."
i feel reluctant talking about myself and my current situation to you as i don t know how you ll feel but i guess its important you know all about me and the situation i am in so that we ll know if we can go further,4,fear,"Nararamdaman kong ayaw kong pag-usapan ang tungkol sa aking sarili at sa aking kasalukuyang kalagayan sa iyo dahil hindi ko alam kung paano ka mararamdaman, pero sa tingin ko mahalaga na malaman mo ang lahat tungkol sa akin at sa sitwasyon na aking kinakaharap upang malaman natin kung kaya tayong magpatuloy."
i learned in the foundry of my own childhood that humor made a perfect shield for keeping people at bay for helping me conceal my true feelings for lending the appearance of truth to all the lies i would tell about how happy i was and for providing me with the wherewithal to get through each day,1,joy,"Natutuhan ko sa apoy ng aking sariling pagkabata na ang katatawanan ay isang perpektong kalasag upang panatilihing malayo ang mga tao, upang makatago ang aking tunay na damdamin, upang bigyan ng anyo ng katotohanan ang lahat ng kasinungalingan na aking sasabihin tungkol sa aking kaligayahan, at upang magbigay sa akin ng lakas upang harapin ang bawat araw."
id never do but i woke feeling stressed,0,sadness,Hindi ko gagawin iyon ngunit nagising akong nakaramdam ng stress.
i feel i need to put my beloved uggs to one side and get back on the ballet pump bandwagon,2,love,Nararamdaman kong kailangan kong ilagay sa tabi ang aking minamahal na uggs at bumalik sa paggamit ng ballet pumps.
i feel terrible about the lady driver though,0,sadness,Nakakaramdam ako ng pagsisisi para sa babaeng driver.
i had a pretty trying adolescence and any time im put into a situation where im made to feel inadequate it makes me revert right back into the shy awkward teenager with low self esteem that i was in high school,0,sadness,"Nagkaroon ako ng mahirap na pagdadalaga at anumang pagkakataon na inilalagay ako sa sitwasyon na para akong hindi sapat, bumalik ako sa mahiyain at awkward na teenager na may mababang pagpapahalaga sa sarili noong high school."
i am being told i should feel satisfied because i am in good standing with the powers that be,1,joy,Sinabi sa akin na dapat akong maging kontento dahil nasa mabuting posisyon ako sa mga nasa kapangyarihan.
i actually just feel really eager,1,joy,Talagang sobrang excited lang ako.
im sitting here in the belmont library listening to hold on tight by electric light orchestra feeling a bit of discontent,0,sadness,"Nakaupo ako dito sa Belmont Library, nakikinig sa ""Hold On Tight"" ng Electric Light Orchestra, at nararamdaman ko ang kaunting pagkadismaya."
i feel really bless to have a very supportive family who appreciate everything that i do,2,love,Napakaligaya ko na may isang napakasuportadong pamilya na nagpapahalaga sa lahat ng aking ginagawa.
i feel so welcomed,1,joy,Nararamdaman kong lubos akong tinatanggap.
i shut the door but i didn t feel triumphant,1,joy,Isinara ko ang pinto ngunit hindi ako nakaramdam ng tagumpay.
i was feeling pretty wiped out mentally amp physically i was determined to get some oxygen to my brain,1,joy,"Napapagod na ako, parehong mental at pisikal, kaya determinado akong makuha ang sapat na oxygen sa aking utak."
i said in some recent interviews we will have two guests on the next alcest album and today i feel glad to reveal the first one,1,joy,"Sinabi ko sa ilang kamakailang panayam na magkakaroon ng dalawang bisita sa susunod na album ng Alcest, at ngayon, masaya akong ihayag ang una."
my roommate was rude to me,3,anger,Ang aking kakambal ay bastos sa akin.
i feel so weird not saying goodnight to mike,4,fear,Nakakakaba hindi makapagpaalam ng magandang gabi kay Mike.
i feel lighter and more compassionate after i have these little talks with myself,2,love,Nararamdaman kong mas magaan at mas maawain pagkatapos ng mga maliit na pag-uusap ko sa aking sarili.
i was impressed with how dunham portrayed hannahs whole experience from trying to deny that its happening to feeling offended when you feel like someone is trying to minimise the distress its causing you,3,anger,"Naimpress ako sa paglalarawan ni Dunham sa buong karanasan ni Hannah, mula sa pagtanggi na nangyayari ito hanggang sa pag-aalsa kapag nararamdaman mong sinusubukang pababain ng iba ang kalungkutan na dulot nito."
i watched his face contort in sadness i began to feel regretful of my actions,0,sadness,"Nakita kong nag-iba ang mukha niya sa kalungkutan, at doon ko naramdaman ang pagsisisi sa aking mga ginawa."
i have been stumbling into quote after quote urging me because i really do feel they are meant for me to do away with my hated day job and dedicate my efforts to what matters most,0,sadness,"Nakakasalubong ako ng mga sipi, isa-isa, na nagtutulak sa akin dahil tunay kong nararamdaman na sila ay para sa akin upang iwanan ang aking kinamumuhian na trabaho araw-araw at ilaan ang aking pagsisikap sa mga bagay na mahalaga."
i prayed to trust god with my desire to feel a divine sense of home,1,joy,Nanalangin ako upang matutong ipagkatiwala kay Diyos ang aking pagnanais na maramdaman ang banal na pakiramdam ng tahanan.
i found is that feeling worthless is a waste of time,0,sadness,Natuklasan ko na ang pagpapahalaga sa sarili ay sayang ng oras.
i feel totally carefree with them around,1,joy,Nararamdaman kong lubos na malaya at walang alalahanin kapag sila ay nasa paligid.
i will not go into details from that long night but i woke up for our am bus feeling like i could barely stand and not trusting the pit in my stomach,1,joy,"Hindi ako magbibigay ng detalye tungkol sa mahabang gabi na iyon, pero nagising ako para sa aming bus ng umaga na parang halos hindi na ako makapakatayo at hindi ko mapagkakatiwalaan ang sakit sa aking tiyan."
i feel so incredibly graceful and sexy in this pose i have to say,1,joy,"Napakaganda at nakakabighani ng pakiramdam ko sa ganitong pose, kailangan kong sabihin."
i feel unimportant but even if i am in some way its still not my place to be making any decisions or voicing my opinions and its certainly not my place to be sharing my feelings,0,sadness,"Nararamdaman kong hindi ako mahalaga, ngunit kahit na sa ilang paraan, hindi pa rin ito ang aking lugar upang gumawa ng anumang desisyon o ipahayag ang aking mga opinyon, at tiyak na hindi ito ang aking lugar upang ibahagi ang aking mga damdamin."
i am learning to step back and call it out to not be too proud to admit that yes i am feeling annoyed and yes i should tell you why,3,anger,"Natututo akong umatras at sabihin ito upang hindi maging mapagmataas na aminin na oo, nararamdaman ko ang inis at oo, dapat kong sabihin sa iyo kung bakit."
i want to avoid feeling disliked,0,sadness,Gusto kong iwasan ang pakiramdam na hindi gusto.
i feel pretty lame typing that but my upper body is so weak,0,sadness,Nararamdaman kong medyo bobo ang pagsusulat nito pero ang itaas kong katawan ay sobrang mahina.
i feel very needy,0,sadness,Nararamdaman kong sobrang nangangailangan ako.
i feel and i think that should be respected,1,joy,Nararamdaman at iniisip ko na dapat igalang.
i was feeling a little like a cold was coming on,3,anger,Nararamdaman kong medyo may paparating na lagnat.
i just wanna say that the last three months i feel so happy about my blog,1,joy,"Gusto ko lang sabihin na sa nakalipas na tatlong buwan, sobrang saya ko sa aking blog."
i left feeling defeated like nothing had been accomplished the day a complete waste of time amp energy,0,sadness,"Umalis ako na parang natalo, parang wala akong nagawa, isang sayang na araw, puro oras at enerhiya ang nasayang."
i had ritz crackers in my desk drawer because theyre something ill eat even when i feel crappy and or dont feel like eating,0,sadness,May Ritz crackers ako sa aking desk drawer dahil kumakain ako nito kahit hindi ako maganda ang pakiramdam o kapag ayaw kong kumain.
i feel that tenure protects a lot of teachers that r innocent,1,joy,Nararamdaman kong pinoprotektahan ng tenure ang maraming guro na inosente.
i always feel i always understand that the people who are being the most hateful and harmful towards me are hurting themselves and taught wrongly and i hurt for them because i want to go back and undo the pain and childhood bigotry that binds their lives into this path,3,anger,"Lagi kong nararamdaman na naiintindihan ko na ang mga taong pinakamasama at nakakasakit sa akin ay nasasaktan din ang kanilang sarili at mali ang kanilang itinuro, at ako ay nasasaktan para sa kanila dahil gustung-gusto kong bumalik at tanggalin ang sakit at pagmamalabis sa pagkabata na nagbubuklod sa kanilang buhay sa landas na ito."
i did wake up this morning feeling more like myself so after days of sloth i was keen to get geared up and head to higher altitudes,1,joy,"Gumising ako kaninang umaga na parang ako na naman, kaya matapos ang mga araw na parang tamad, masaya akong magbihis at pumunta sa mga mataas na lugar."
i feel like the character precious,1,joy,Parang si Precious ang nararamdaman kong karakter.
i feel in love with the weight watchers program and was faithful to count my points,2,love,Nagmahal ako sa programa ng Weight Watchers at tapat akong nagbilang ng aking puntos.
i feel like one of those girls in school that i hated because their outfits were perfect everyday because they went shopping once a week,0,sadness,Parang isa ako sa mga babaeng estudyante noon na kinamumuhian ko dahil perpekto ang kanilang damit araw-araw dahil bumibili sila ng bago tuwing isang linggo.
i fought i could feel myself trusting this man who was so patient and had a cool confidence more and more,1,joy,"Naglalaban ako, ngunit nararamdaman kong unti-unting nagtitiwala ako sa lalaking ito na napakatapat at may malamig na tiwala."
i feel like my very essence is no more and work has drained my soul hopefully soon i will find my escape from work into a better path as i seem to be stuck only the cliquey get to move on and i do not want to roll like that,0,sadness,"Parang nawala na ang aking tunay na pagkatao at pinagod na ng trabaho ang aking kaluluwa. Sana sa lalong madaling panahon ay mahanap ko ang aking paraan palabas sa trabaho tungo sa mas magandang landas dahil parang nakakulong ako, at tila lamang ang mga mapagkrus ang nakaka-angat, at ayaw kong mabuhay gaya nila."
i feel surprised because i didnt expect it,4,fear,Nagulat ako dahil hindi ko inaasahan.
i feel tortured by something,3,anger,Nasasaktan ako ng isang bagay.
i feel suffocated yet charmed my brain pauses logic,1,joy,Nararamdaman kong parang pinipigilan ang aking paghinga ngunit nakakaakit ang aking isipan ay tumitigil sa lohika.
i was feeling groggy and super tired during most of the fall we ended up staying home for thanksgiving instead of making the hour trip to see jimmys family,0,sadness,"Nararamdaman ko ang pagod at sobrang pagod sa karamihan ng taglagas, kaya nagdesisyon kaming manatili sa bahay para sa Thanksgiving sa halip na maglakbay ng isang oras upang makita ang pamilya ni Jimmy."
i had coped for barely twenty four hours before i was feeling wrung out and distraught,4,fear,Nagtagal lamang ng halos dalawampu't apat na oras ang aking pagtitiis bago ako naramdaman na pagod at nalulumbay.
i feel that the father wants to tell you that he is pleased with you,1,joy,Nararamdaman kong gustong sabihin ng ama na siya ay nasiyahan sa iyo.
i uploaded and put the link to in my previous post is only good for six more days or until i feel gracious enough to upload it again,1,joy,Ang link na i-upload ko at inilagay sa aking nakaraang post ay magagamit lamang sa loob ng anim pang araw o hanggang sa maramdaman kong sapat na ang aking kabutihan upang i-upload ito muli.
im pretty sure it had to do with the fact that im dealing with hyperemesis not enough sleep and feeling irritable,3,anger,"Sigurado akong may kinalaman ito sa katotohanang nakikipaglaban ako sa hyperemesis, kakulangan sa tulog, at pagiging madaling magalit."
i wanted to feel assured,1,joy,Gusto kong maging sigurado.
i feel like copying the handsome boy say yay so fun,1,joy,"Gusto kong gayahin ang magandang lalaki na nagsasabi ng ""yay,"" masaya iyon."
i am sorry that you feel i deserve to be blamed for the friends i pick all of which are better then some of the friends i could be hanging out with getting high and drunk while underage,0,sadness,"Pasensya na kung nararamdaman mong dapat akong sisihin sa mga kaibigan kong pinipili, lahat sila ay mas mabuti kaysa sa ilan sa mga maaaring kasama ko na nagkakasala ng pag-inom at pag-inom ng alak habang nasa ilalim pa ng edad."
i feel that it is dangerous to portray angels as walking the earth and intermarrying with humans,3,anger,Nararamdaman kong mapanganib ang paglalarawan ng mga anghel na naglalakad sa lupa at nag-aasawa sa mga tao.
i am feeling a bit nostalgic so decided to take a tour through my memory lane,2,love,Nararamdaman ko ang kaunting pag-nostalya kaya nagpasya akong maglakbay sa aking daan ng alaala.
i feel excited about something that is soley for me here is the video about it,1,joy,"Nakakakilig akong isipin na mayroon akong espesyal na bagay para sa akin, narito ang video tungkol dito."
i feel like i m a doomed gladiator in a stadium constructed of cardboard and copies of romeo and juliet and the outsiders are screaming for my blood,0,sadness,"Parang isang nabibilang na gladiador ako sa isang estadio na gawa sa karton at mga kopya ng Romeo at Juliet, at ang mga Outsiders ay sumisigaw ng aking dugo."
i think she just rolled out i guess she s over it already i m kinda feeling that but no one has performed yet and word on the street is there is supposed to be a surprised performance by lil wayne nikki minaj and drake that would be dope,4,fear,"Akala ko lang siya ay nag-alis na siguro ay tapos na siya rito medyo nararamdaman ko rin iyon pero wala pang nagtatanghal at ang balita sa paligid ay may sorpresa daw na pagtatanghal nina Lil Wayne, Nicki Minaj, at Drake, iyon ay magiging kamangha-manghang."
i feel a tender compassion glancing at her huge and heavy rucksack,2,love,Nararamdaman kong may malambot na awa habang nakatingin sa kanyang malaki at mabigat na backpack.
i feel romantic and passionate toward my partner,2,love,Nararamdaman kong romantiko at may pag-ibig na apoy ang nararamdaman ko para sa aking kapareha.
i hated the day job and after a few months of feeling like i was being cosmically punished for doing a good deed i was getting ready to quit when i met the woman that would become my wife,0,sadness,"Kinamumuhian ko ang trabahong pang-araw-araw at matapos ang ilang buwan na parang pinarusahan ako ng kosmikong kaparusahan dahil sa mabuting ginawa ko, handa na akong mag-resign nang makilala ko ang babaeng magiging aking asawa."
i feel ashamed that i again let it come that far,0,sadness,Nakakahiya na muli kong pinaabot hanggang doon.
